city_risk,rainfall,temperature,aqi,work_hours,season,disruption
0.87,0.03,0.08,0.85,4.05,0,1
0.68,0.81,0.06,0.44,11.73,1,1
0.76,0.19,0.9,0.12,7.32,1,1
0.43,0.22,0.93,0.46,9.23,1,1
0.69,0.39,0.05,0.72,8.05,0,0
0.55,0.52,0.01,0.92,4.98,1,1
0.53,0.05,0.16,0.06,5.5,1,0
0.32,0.51,0.8,0.73,4.04,0,0
0.67,0.85,0.98,0.86,8.06,0,1
0.52,0.99,0.26,0.75,6.42,0,1
0.66,0.7,0.25,0.43,4.95,1,0
0.7,0.25,0.89,0.82,11.64,1,1
0.71,0.52,0.7,0.97,4.53,1,1
0.62,0.71,0.28,0.1,5.49,0,1
0.37,0.59,0.0,0.05,5.62,1,0
0.83,0.8,0.36,0.75,8.74,1,1
0.86,0.55,0.04,0.82,5.74,1,1
0.55,0.58,0.52,0.56,5.19,0,0
0.38,0.2,0.94,0.78,4.12,0,1
0.39,0.75,0.79,0.25,6.43,1,1
0.64,1.0,0.79,0.94,4.46,1,1
0.84,0.34,0.21,0.91,4.04,1,1
0.6,0.69,0.82,0.82,10.92,0,1
0.58,0.61,0.33,0.41,10.78,0,0
0.89,0.06,0.74,0.76,10.09,1,0
0.89,0.9,0.01,0.05,4.5,0,1
0.82,0.15,0.24,0.33,6.41,0,0
0.57,0.59,0.9,0.37,7.79,1,1
0.35,0.96,0.01,0.62,4.01,1,1
0.64,0.57,0.42,0.33,9.2,0,0
0.5,0.21,0.16,0.82,7.86,0,1
0.72,0.76,0.42,0.04,10.99,1,1
0.35,0.04,0.62,0.67,8.57,1,0
0.65,0.62,0.65,0.54,11.11,0,0
0.31,0.51,0.15,0.42,10.76,0,0
0.42,0.13,0.29,0.1,4.6,0,0
0.34,0.16,0.39,0.91,11.55,0,1
0.42,0.21,0.2,0.89,5.58,1,1
0.3,0.48,0.96,0.46,6.91,0,1
0.56,0.17,0.41,0.4,5.52,1,0
0.44,0.87,0.58,0.93,7.42,0,1
0.85,0.73,0.58,0.07,11.63,0,1
0.79,0.56,0.32,0.59,4.98,1,0
0.61,0.96,0.48,0.49,11.41,1,1
0.9,0.83,0.89,0.31,9.38,1,1
0.5,0.15,0.44,0.49,10.43,0,0
0.76,0.62,0.91,0.77,10.22,1,1
0.58,0.26,0.16,0.16,8.72,0,0
0.62,0.24,0.67,0.66,10.75,0,0
0.77,0.87,0.04,0.04,9.56,0,1
0.53,0.57,0.63,0.42,9.69,1,0
0.87,0.28,0.87,0.94,8.6,1,1
0.77,0.37,0.44,0.17,9.59,0,0
0.78,0.52,0.1,0.05,4.08,1,0
0.75,0.41,0.07,0.43,9.1,0,0
0.35,0.65,0.03,0.29,11.26,0,0
0.52,0.24,0.17,0.53,6.75,0,0
0.33,0.47,0.56,0.96,10.91,1,1
0.45,0.04,0.58,0.99,5.58,0,1
0.6,0.33,0.23,0.77,6.12,1,0
0.46,0.25,0.22,0.65,7.48,0,0
0.47,0.55,0.21,0.94,9.26,0,1
0.55,0.9,0.87,0.03,4.35,0,1
0.48,0.27,0.73,0.3,7.79,0,0
0.83,0.85,0.47,0.91,8.33,1,1
0.44,0.18,0.9,0.22,7.64,1,1
0.76,0.12,0.21,0.63,5.04,1,0
0.62,0.48,0.37,0.93,8.32,0,1
0.56,0.72,0.04,0.75,7.72,1,1
0.35,0.78,0.55,0.28,9.14,1,1
0.83,0.69,0.63,0.43,7.75,1,0
0.36,0.31,0.98,0.64,11.5,1,1
0.62,0.36,0.41,0.96,4.44,1,1
0.55,0.46,0.61,0.01,11.8,1,0
0.36,0.69,0.18,0.67,4.96,0,0
0.32,0.32,0.87,0.55,9.5,0,1
0.49,0.15,0.09,0.45,9.49,1,0
0.75,0.12,0.75,0.06,5.83,1,0
0.51,0.36,0.49,0.69,6.63,1,0
0.42,0.42,0.79,0.86,6.02,1,1
0.76,0.31,0.87,0.19,11.96,1,1
0.35,0.09,0.98,0.76,11.73,0,1
0.65,0.35,0.34,0.84,10.92,0,1
0.8,0.05,0.05,0.0,5.22,1,0
0.62,0.07,0.23,0.54,5.57,0,0
0.43,0.29,0.86,0.35,11.38,1,1
0.64,0.4,0.78,0.4,11.33,1,0
0.71,0.02,0.7,0.27,4.38,0,0
0.37,0.51,0.83,0.29,6.97,1,0
0.51,0.0,0.63,0.67,6.09,0,0
0.68,0.09,0.33,0.84,8.54,0,1
0.32,0.11,0.59,0.8,5.28,1,0
0.45,0.08,0.82,0.28,11.56,1,0
0.8,0.98,0.91,0.24,8.44,0,1
0.48,0.15,0.2,0.3,5.04,1,0
0.68,0.68,0.7,0.26,8.9,1,0
0.86,0.69,0.23,0.6,6.51,0,0
0.33,0.8,0.06,0.05,11.18,0,1
0.8,0.88,0.24,0.41,5.7,1,1
0.67,0.95,0.15,0.79,4.26,1,1
0.89,0.4,1.0,0.17,4.44,0,1
0.4,0.13,0.36,0.12,11.27,1,0
0.76,0.11,0.3,0.47,5.95,0,0
0.35,0.47,0.55,0.32,4.8,1,0
0.36,0.73,0.52,0.81,7.16,1,1
0.63,0.41,0.46,0.88,8.99,0,1
0.73,0.99,0.16,0.11,4.98,1,1
0.75,0.16,0.98,0.81,5.63,1,1
0.38,0.15,0.55,0.58,7.26,0,0
0.39,0.72,0.65,0.38,10.4,1,1
0.59,0.07,0.69,0.42,4.43,1,0
0.88,0.56,0.56,0.57,4.74,0,0
0.79,0.82,0.93,0.35,9.77,1,1
0.38,0.55,0.04,0.58,11.24,1,0
0.55,0.62,0.82,0.65,4.37,1,0
0.44,0.89,0.58,0.45,7.28,0,1
0.76,0.64,0.33,0.11,8.83,1,0
0.69,0.39,0.82,0.56,6.03,1,0
0.86,0.88,0.08,0.97,4.35,1,1
0.45,0.72,0.81,0.48,11.78,0,1
0.84,0.11,0.07,0.84,6.67,0,1
0.38,0.25,0.52,0.44,8.62,0,0
0.72,0.42,0.49,0.07,7.61,0,0
0.45,0.16,0.5,1.0,11.12,0,1
0.45,0.55,0.14,0.03,11.31,0,0
0.66,0.31,0.3,0.32,11.26,0,0
0.74,0.66,0.39,0.04,4.55,1,0
0.54,0.55,0.18,0.18,4.56,0,0
0.86,0.73,0.97,0.66,9.02,1,1
0.31,0.6,0.23,0.95,9.16,0,1
0.61,0.48,0.96,0.62,4.19,1,1
0.8,0.48,0.89,0.81,6.56,0,1
0.51,0.31,0.14,0.85,4.13,0,1
0.6,0.12,0.81,0.32,6.51,0,0
0.34,0.9,0.76,0.11,7.38,1,1
0.38,0.28,0.34,0.06,6.64,1,0
0.52,0.37,0.71,0.96,5.5,1,1
0.87,0.19,0.48,0.55,11.03,0,0
0.31,0.49,0.99,0.51,5.86,1,1
0.38,0.26,0.16,0.76,9.23,0,0
0.76,0.87,0.03,0.48,8.8,0,1
0.66,0.52,0.4,0.57,5.59,1,0
0.76,0.75,0.82,0.37,9.9,1,1
0.84,0.84,0.76,0.89,4.47,0,1
0.71,0.55,0.62,0.78,4.13,0,0
0.79,0.15,0.64,0.33,5.12,1,0
0.73,0.98,1.0,0.5,5.99,0,1
0.64,0.55,0.26,0.21,7.54,1,0
0.34,0.73,0.23,0.19,11.7,0,1
0.43,0.39,0.9,0.31,8.47,0,1
0.33,0.22,0.51,0.8,4.66,0,0
0.54,0.75,0.8,0.09,5.09,0,1
0.48,0.93,0.63,0.47,4.75,1,1
0.46,0.67,0.68,0.08,10.48,0,0
0.38,0.33,0.32,0.41,8.61,0,0
0.44,0.58,0.79,0.71,8.15,0,0
0.89,0.76,0.47,0.14,10.89,0,1
0.65,0.03,0.97,0.83,11.22,1,1
0.52,0.5,0.3,0.61,11.57,1,0
0.77,0.94,0.05,0.13,6.17,1,1
0.57,0.97,0.61,0.93,8.61,0,1
0.8,0.89,0.56,0.97,8.51,0,1
0.72,0.36,0.88,0.95,5.34,1,1
0.46,0.05,0.56,0.03,10.01,0,0
0.53,0.76,0.33,0.49,5.0,1,1
0.54,0.78,0.05,0.91,11.41,0,1
0.79,0.45,0.84,0.43,11.48,1,0
0.88,0.2,0.76,0.92,8.31,0,1
0.52,0.39,0.39,0.46,8.9,0,0
0.77,0.51,0.74,0.37,10.85,0,0
0.72,0.74,0.75,0.92,10.18,0,1
0.36,0.57,0.04,0.39,5.09,1,0
0.72,0.34,0.39,0.77,4.16,1,0
0.64,0.67,0.81,0.89,9.22,1,1
0.46,0.46,0.59,0.21,10.87,1,0
0.87,0.91,0.42,0.99,4.9,1,1
0.64,0.37,0.11,0.2,6.77,1,0
0.67,0.96,0.53,0.72,6.92,0,1
0.5,0.38,0.18,0.53,11.19,0,0
0.4,0.7,0.09,0.63,8.46,1,0
0.42,0.34,0.93,0.16,10.06,0,1
0.32,0.31,0.16,0.43,7.63,0,0
0.77,0.09,0.32,0.45,11.15,0,0
0.83,0.05,0.19,0.64,11.92,0,0
0.76,0.63,0.97,0.05,9.67,0,1
0.59,0.34,0.02,0.89,4.26,1,1
0.63,0.34,0.92,0.01,10.68,1,1
0.63,0.19,0.33,0.92,11.01,1,1
0.7,0.02,0.01,0.04,8.58,1,0
0.3,0.31,0.64,0.34,5.16,0,0
0.41,0.35,0.7,0.29,4.38,0,0
0.48,0.4,0.35,0.81,6.62,1,1
0.34,0.06,0.95,0.28,11.49,1,1
0.42,0.05,0.85,0.85,11.83,0,1
0.43,0.63,0.78,0.4,9.58,0,0
0.32,0.59,0.91,0.82,11.0,1,1
0.31,0.74,0.99,0.59,9.86,0,1
0.56,0.81,0.05,0.48,4.14,0,1
0.4,0.1,0.61,0.38,11.14,0,0
0.81,0.76,0.27,0.62,4.13,0,1
0.58,0.58,0.82,0.25,9.44,0,0
0.77,0.22,0.61,0.82,8.97,1,1
0.75,0.43,0.68,0.84,6.16,0,1
0.66,0.07,0.76,0.17,11.95,0,0
0.64,0.43,0.17,0.42,11.55,0,0
0.37,0.15,0.48,0.57,5.7,0,0
0.55,0.45,0.75,0.51,5.66,0,0
0.56,0.13,0.54,0.56,4.9,1,0
0.42,0.17,0.71,0.75,10.94,0,0
0.66,0.69,0.23,0.93,11.37,1,1
0.48,0.25,0.94,0.18,5.06,0,1
0.5,0.46,0.16,0.94,6.92,0,1
0.86,0.86,0.66,0.17,6.8,0,1
0.41,0.03,0.03,0.82,10.21,0,1
0.78,0.0,0.26,0.57,4.26,1,0
0.53,0.45,0.12,0.73,8.08,0,0
0.86,0.25,0.01,0.75,9.58,0,0
0.39,0.17,0.08,0.98,8.5,1,1
0.34,0.44,0.72,0.64,5.73,1,0
0.73,0.89,0.25,0.06,4.97,1,1
0.85,0.2,0.2,0.82,5.56,0,1
0.67,0.58,0.33,0.95,4.85,0,1
0.47,0.87,0.16,0.03,11.82,0,1
0.61,0.16,0.93,0.74,7.69,1,1
0.39,0.38,0.09,0.32,9.56,0,0
0.88,0.64,0.16,0.92,5.38,1,1
0.33,0.85,0.69,0.85,6.2,0,1
0.35,0.13,0.69,0.2,4.07,0,0
0.63,0.64,0.11,0.88,9.84,0,1
0.74,0.53,0.22,0.89,4.93,1,1
0.56,0.27,0.85,0.39,8.79,0,0
0.69,0.26,0.8,0.67,6.16,0,0
0.81,0.13,0.15,0.52,4.98,0,0
0.33,0.42,0.59,0.57,8.82,0,0
0.8,0.68,0.03,0.83,11.86,1,1
0.39,0.71,0.09,0.22,11.34,0,1
0.45,0.14,0.44,0.75,11.65,1,0
0.72,0.98,0.07,0.41,8.33,1,1
0.81,0.72,0.64,0.16,4.42,0,1
0.31,0.04,0.02,0.04,7.14,1,0
0.4,0.89,0.93,0.35,7.37,0,1
0.61,0.48,0.23,0.52,5.87,1,0
0.81,0.7,0.57,0.18,4.39,1,0
0.79,0.78,0.94,0.43,7.25,0,1
0.8,0.74,0.67,0.31,6.12,0,1
0.77,1.0,0.82,0.06,11.21,1,1
0.68,0.4,0.01,0.04,8.16,1,0
0.52,0.12,0.98,0.81,9.42,1,1
0.44,0.12,0.45,0.66,6.61,1,0
0.72,0.95,0.23,0.73,6.81,1,1
0.55,0.27,0.91,0.89,6.51,1,1
0.44,0.62,0.36,0.05,6.73,0,0
0.78,0.71,0.92,0.58,4.06,0,1
0.69,0.13,0.2,0.73,10.39,1,0
0.79,0.21,0.28,0.43,4.67,0,0
0.84,0.5,0.02,0.16,6.35,0,0
0.81,0.56,0.29,0.53,11.72,1,0
0.77,0.04,0.88,0.66,11.42,0,1
0.84,0.62,0.08,0.24,4.72,0,0
0.73,0.86,0.52,0.11,4.97,1,1
0.87,0.38,0.41,0.59,5.03,1,0
0.78,0.31,0.26,0.25,9.24,0,0
0.38,0.57,0.66,0.65,6.68,1,0
0.44,0.01,0.24,0.92,7.75,1,1
0.67,0.11,0.31,0.63,6.82,1,0
0.87,0.5,0.18,0.06,8.83,0,0
0.75,0.23,0.66,0.17,4.26,0,0
0.83,0.21,0.08,0.81,11.56,0,1
0.5,0.73,0.43,0.71,6.59,1,1
0.71,0.92,0.32,0.21,5.43,1,1
0.64,0.4,0.23,0.38,11.82,1,0
0.36,0.0,0.46,0.23,5.43,0,0
0.57,0.1,0.77,1.0,9.35,0,1
0.6,0.65,0.55,0.2,4.44,0,0
0.45,0.28,0.65,0.26,8.42,1,0
0.77,0.62,0.88,0.82,4.43,0,1
0.62,0.1,0.29,0.63,8.17,1,0
0.59,0.16,0.21,0.69,8.48,1,0
0.65,0.35,0.19,0.15,5.71,0,0
0.66,0.79,0.74,0.93,8.64,1,1
0.49,0.86,0.63,0.08,4.24,1,1
0.67,0.81,0.26,0.17,6.73,1,1
0.6,0.4,0.72,0.5,8.58,1,0
0.59,0.03,0.05,0.07,4.64,1,0
0.84,0.15,0.59,0.37,5.8,1,0
0.61,0.47,0.8,0.89,4.07,0,1
0.8,0.27,0.72,0.75,10.65,1,0
0.51,0.19,0.25,0.5,10.46,1,0
0.38,0.61,0.58,0.72,4.99,0,0
0.41,0.36,0.2,0.42,7.4,0,0
0.45,0.83,0.03,0.8,5.14,1,1
0.76,0.57,0.02,0.94,5.93,0,1
0.82,0.56,0.8,0.09,7.23,1,0
0.33,0.39,0.11,0.66,4.22,0,0
0.53,0.51,0.53,0.12,4.89,1,0
0.53,0.14,0.24,0.41,7.92,0,0
0.71,0.17,0.98,0.72,4.29,1,1
0.87,0.07,0.98,0.17,6.64,0,1
0.4,0.45,0.15,0.22,4.38,0,0
0.86,0.13,0.73,0.12,7.1,0,0
0.75,0.88,0.1,0.88,8.42,1,1
0.48,0.76,0.66,0.42,8.63,0,1
0.39,0.19,0.94,0.06,6.63,0,1
0.32,0.17,0.86,0.06,5.34,1,1
0.87,0.71,0.51,0.05,10.05,0,1
0.75,0.4,0.2,0.5,6.55,0,0
0.75,0.71,0.14,0.7,5.96,1,1
0.83,0.94,0.09,0.51,4.1,1,1
0.72,0.35,0.52,0.18,9.16,1,0
0.45,0.83,0.33,0.09,11.7,0,1
0.41,0.3,0.1,0.86,7.33,1,1
0.9,0.75,0.19,0.04,11.07,1,1
0.71,0.53,0.07,0.66,7.69,0,0
0.32,0.69,0.03,0.38,10.4,1,0
0.53,0.97,0.81,0.94,5.11,1,1
0.68,0.58,0.75,0.64,11.77,0,0
0.65,0.68,0.41,0.7,7.92,0,0
0.55,0.82,0.15,0.36,9.03,1,1
0.39,0.65,0.61,0.35,5.86,0,0
0.87,0.8,0.81,0.51,6.5,0,1
0.53,0.76,0.66,0.73,4.57,1,1
0.64,0.59,0.73,0.93,8.46,0,1
0.34,0.89,0.86,0.63,4.49,1,1
0.62,0.12,0.24,0.65,10.64,0,0
0.61,0.09,0.68,0.88,5.69,1,1
0.64,0.5,0.49,0.89,4.43,0,1
0.66,0.57,0.56,0.24,7.05,0,0
0.88,0.02,0.55,0.41,10.77,0,0
0.65,0.05,0.4,0.99,4.32,1,1
0.41,0.01,0.81,0.54,5.65,0,0
0.44,0.34,0.39,0.57,6.54,0,0
0.38,0.66,0.2,0.42,9.12,1,0
0.89,0.48,0.54,0.31,7.55,0,0
0.6,0.78,0.89,0.51,8.42,1,1
0.61,0.6,0.01,0.39,11.77,1,0
0.72,0.13,0.96,0.6,10.6,0,1
0.65,0.32,0.81,0.7,8.59,0,0
0.34,0.47,0.06,0.85,8.83,0,1
0.47,0.99,0.95,0.28,4.83,0,1
0.38,0.89,0.05,0.25,7.49,0,1
0.75,0.33,0.4,0.47,10.49,1,0
0.74,0.27,0.38,0.24,7.08,1,0
0.36,0.84,0.15,0.75,8.04,1,1
0.61,0.42,0.35,0.19,6.09,0,0
0.87,0.14,0.37,0.67,4.33,0,0
0.62,0.18,0.77,0.65,11.91,0,0
0.53,0.47,0.0,0.65,5.91,1,0
0.63,0.12,0.08,0.14,9.5,0,0
0.47,0.87,0.34,0.07,10.61,1,1
0.33,0.18,0.91,0.06,6.09,1,1
0.84,0.85,0.2,0.89,4.28,0,1
0.63,0.98,0.29,0.38,7.6,0,1
0.56,0.34,0.13,0.99,8.73,1,1
0.48,0.52,0.39,0.32,9.38,1,0
0.84,0.43,0.02,0.26,10.84,1,0
0.68,0.92,0.78,0.71,10.4,1,1
0.87,0.76,0.3,0.36,8.61,1,1
0.77,0.22,0.88,0.11,5.02,0,1
0.51,0.18,0.43,0.16,5.57,0,0
0.79,0.42,0.93,0.36,11.46,0,1
0.66,0.1,0.49,0.47,8.75,0,0
0.88,0.04,0.34,0.01,5.42,0,0
0.58,0.98,0.98,0.66,9.86,0,1
0.39,0.48,0.83,0.84,4.28,0,1
0.37,0.3,0.29,0.66,8.55,1,0
0.8,0.45,0.61,0.12,10.46,0,0
0.49,0.46,0.48,0.35,6.3,0,0
0.54,0.34,0.61,0.22,4.13,1,0
0.62,0.05,0.64,1.0,8.92,1,1
0.51,0.18,0.23,0.8,6.15,0,0
